ID,questionTitle,topics,0
24,Why do I get random spurts of anger over petty things?,Anger Management,"Hi. I'm glad you wrote. In general, when a small thing bothers us (and this happens to all of us), it's because the small thing triggers an emotion in us that we have felt ""too much"" or ""too intensely"" in the past, and we don't know how to manage that emotion effectively...we just want to avoid it as quickly as possible. Cognitive Behavioural Therapy with a qualified therapist can help you to understand what is being triggered in you and learn how to manage emotions productively. You say that your behaviours are self destructive, and I agree. It sounds like you have developed a habit of channelling your distress towards self-harm, and this is a separate and potentially more serious problem. This is a choice you make that points to shame being an issue for you. Again, a good therapist can help you learn what's behind your shame and self-harm. Your feelings are normal, and you can learn more healthy ways to deal with them with qualified help."
25,How can I control my anger?,Anger Management,"Sometimes we react to situations immediately, without thinking of the consequences of our actions. Typically by not reacting right away, we are better able to gather our thoughts, see the situation more clearly and from other perspectives, and respond more calmly. One of the strategies that almost always helps is deep breathing. When faced with a stressful situation, you can give yourself a time out by removing yourself from the stress and spend 5 minutes taking deep breaths (breathe in slowly counting to 4 and breathe out even slower counting to 6), while focusing and thinkingonly about your breathing. After doing so, think of the various ways you can respond to the situation and choose the one most appropriate. Good luck!"
26,Why am I constantly angry?,Anger Management," I'm glad you want this to be different. It doesn't feel good to be angry all the time, and it's stealing your energy as well as affecting relationships, I'm sure.Working with a therapist, you can learn to recognise the deep emotions that lie underneath the anger. It's likely to be either powerlessness or worthlessness, and what happens is this... a small moment in the present touches on an old, tender, bruised emotion that we've simply felt too much of or too strongly in the past. We develop ways of avoiding these vulnerable emotions, and anger is one way of doing that.So, when someone looks at you in a certain way, or says something, you'd rather be angry than feel powerless, or unimportant (or whatever your kryptonite feeling is). In that moment, your instinct is to blame whatever happened, no matter how small, because that's the thing that happened just before you got mad. You fail to recognise that the problem is not the look on that person's face, or the shoe that someone left in front of the door...it's that you can't stand feeling something and you want to avoid it like you want to stamp your foot out if it's on fire.I suggest finding a therapist to work with. You can learn to take responsibility for your old emotions and find new ways to manage them. :)"
27,How do I manage my anger?,Anger Management,"First off, it is great that you recognize that some changes need to be made. It is also really good that you understand where the source of your anxiety and stress comes from. Fortunately there are many self help books and internet sources that provide free tools to help you cope withlife's obstacles, including anger management. There are several strategies that you can try tohelp control your anger, but theones thatI would recomend first are the following:1.Try a different way of communicating with your parents. Sincearguing withthem is a great source of anger for you, learning more effective ways of communicating with them will likely be of great benefit.Choose a time to talk with themabout ""heated issues"" when everyone is calm and emotions are not heightened. Use ""I phrases"" by telling them how the arguments effect you, as opposed to placing blame on them.Validate what you hear your parents say in order to allow them to know that you understand their point of view.2. When you feel yourself becoming angry, take a break. Simply excuse yourself from the situation, find a quiet place to be by yourself, and do some deep breathing. Close your eyes, slowly count to four as you inhale, and exhaleeven slower, counting to 6. Focus on nothing except for your breathing and do this for 5 minutes.3. Stop any negative thoughts in their tracks. Often times when we get upset, we catastrophize and do not see things clearly. When you catch yourself thinking negatively stop the thoughts and ask yourself if your thinking is logical and rational. If you cannot find much or any evidence that your thoughts are valid, then let them go and replace them with realistic, logical thoughts.4. Finally, find a friend or someone to talk to andor keep a journal. Keeping your emotions to yourself will not help you. Being able to express your feelings and problem solve will allow for some relief when feeling sad or angry.I wish you all the best!"
30,I need to know how to cope with misophonia before I go completely insane.,Anger Management,"Probably good to know in what type of situations you are, in which you are hearing mouth breathing and snoring.If you're sleeping beside your partner who does these actions, would have a different response than if you overhear mouth breathing and snoring from a family member who is napping on the couch and you are walking past them on your way to take a snack in the kitchen.Basically, if the person who does these actions which bother you, start by telling them.Depending on whether they are empathetic to how distressed you are from their sounds, or not, willing to change, or not, has a good deal to do with next steps.I don't really see any step you're able to take to solve that you are sensitive to human sounds from the head.One path I don't recommend is expecting yourself to ignore the fact of being feeling bothered, or dismissing your own sensitivity someone.Your needs matter."
31,Why am I so mad?,Anger Management,"Knowing how you feel and also being able to stabilize yourself to act upon the tremendous anger you feel, are fine qualities.Anger, whatever the magnitude, generally reflects emotional pain that has not yet been placed into words.Try thinking over your growing up years because maybe you will discover certain repeated dynamics which upset you and that no one helped you feel secure through such times.Also, if either of your parents drank too much and raged when they were drunk, you may be repeating their patterns of how to respond to situations. Even without drinking, the response patterns of yelling and throwing things are frightening enough to leave a permanent memory.If this describes part of your childhood, then it is possible you are becoming angry because it was the only emotion that either of your parents was able to express."
32,How can I stop being so angry?,Anger Management,"Best question is....what are you so angry about? You can't stop being so angry until you figure out what is the root of your anger. If you feel like you have anger inside, while I am sure you do. Taking it out on your son is only passing on the hurt and anger. This will be inside him too. Get some professional help so that you can be happy and have a happy child."
33,How can I control my temper?,Anger Management,"Yes you can.. If you cannot control your temper, who can? You have more power of your emotions, thoughts and feeling than you are giving yourself credit for. If this is scaring your wife and child, you need to get control of it immediately. Try going to an anger management class. It will help to discover what is the root cause of your anger, what triggers it and how you can controlmanage it. If you can't go to a class, try self help books or even better yet counseling and support of a professional counselor."
35,I need help controlling my anger.,Anger Management,"I need help controlling my anger.Anger is like a blanket that contains other emotion from bursting out and serves as a shield to protect us when we are not able to manage external issues. Anger also helps us understand that thereâs something wrong that needs to change. Once we understand that something else caused us to feel angry, then we can explore the source of anger.Ask yourself: Why am angry, Am I hurt, disappointed, confused, embarrassed etc.? Once you find the answer, explore how often that happens and whatâs your reaction. Then explore how else you could respond or react. You could use I-statements as a way to communicate your true feelings to your girlfriend or whoever is involved in the scenario. This is a good exercise to practice with your Counselor or mental health provider because many unresolved issues may arise during this exploration, especially if you have been angry for a long timeAlso, it is important to understand the difference between anger and aggressionand learn to manage our anger before we act on it. Anger is a feeling; aggression is when you act out your anger physically, verbally and psychologically. Find ways to vent: crying or sweating will help to release your anger, and balance the chemical response that our body creates when you become angry. Physical activity and meditation exercises can also provide a break when you manage strong emotions.Necesito ayuda para controlar mi coraje.El coraje es como una manta que cubre otras emociones evitando que se desborden y sirve como un escudo que nos protege cuando no podemos manejar problemas externos. El coraje tambiÃ©n nos ayudo a entender que hay algo mal que debemos cambiar. Cuando entendemos que algo mas causo el coraje entonces podemos explorar la fuente.PregÃºntate a ti mismo: Â¿Por quÃ© tengo coraje, estoy herido, decepcionado, confundido, avergonzado, etc.? Ya que encuentres la respuesta, explora cuan frecuente tienes esa reacciÃ³n. Luego explora como puedes reaccionar en otra ocasiÃ³n. Puedes usar expresiones del Yo para comunicar tus verdaderos sentimientos a la persona envuelta en la situaciÃ³n. Esto es un buen ejercicio para practicar con tu Consejero o profesional de la salud mental ya que otros conflictos sin resolver pueden surgir durante este proceso de exploraciÃ³n.TambiÃ©n es importante entender la diferencia entre el coraje y la agresiÃ³n, y aprender a manejar el coraje antes que actuemos. El coraje es un sentimiento y la agresiÃ³n es cuando expresas tu coraje agrediendo a alguien, fÃ­sica, emocional o sicolÃ³gicamente. Encuentra maneras de desagotare, llorar o sudar te pueden ayudar en este proceso al balancear la respuesta quÃ­mica que crea el cuerpo cuando estamos molestos. El la actividad fÃ­sica y la meditaciÃ³n tambiÃ©n pueden ayudarte a relajarte y tomar un descanso cuando manejas emociones fuertes."
36,How can I just be happy and not mad all the time?,Anger Management,"Anger often comes with a lot of other emotions. Consider what else you may be feeling at the same time and keep track of your different mood changes. You may be able to notice patterns, such as being more frustrated when you don't sleep well. If you do feel as though you are mad all the time, can you think of any exceptions so you can see what is different in those times?"
37,Why do I get angry so easily?,Anger Management,"Anyone who asks whether or not they have a problem, usually feels at least partly, that they do have a problem.Your answer to the question is what matters.Since you already understand that your reaction is overstated to the events which trigger them, the reactions you're having are more than likely anger that is leftover from past events, either in the near or distant past.Be aware, consider, reflect on how you usually handle feeling angry. Based on your description here, it is quite likely that the anger you show toward what you call ""little things"" reflect anger at much bigger matters that are uncomfortable and not easy to understand.Knowing more about the more significant matters causing frustration for you, may very likely decrease reacting angrily toward smaller matters."
39,How can I be less confused about my feelings towards anything?,"Anger Management,Behavioral Change","Well, then give yourself some credit for noticing that you recognize at least one feeling that you have!What is your own theory as to what is difficult to know your feelings? Your answer will give you clues as to unearthing your willingness to be aware of the way you feel.Sometimes the family in which someone grew up, did all they could to stop the kids from knowing who they were.In some families there were very severe consequences if a child spoke up with an independent mind. By knowing where your difficulties started, you may very well be able to release the situation in which you learned to suppress your feelings.Also, spend some time with yourself just enjoying who you are. Often, people who have difficulty in expressing themselves, suffered shame and humiliation as a child. They have a chronic sense of worthlessness, and feeling worthless certainly works against self-expression. By having a good time being with yourself, you may increase your self-appreciation and this will go a long way to believing that your feelings are worth knowing and stating."
40,I get so angry that I want to explode.,"Anger Management,Depression,Relationships","Hi, You say you have anger but you don't mention how it shows. Or maybe it doesn't. Are you aggressive with your girlfriend? Since you mention depression, I wonder if you're bottling it all up somewhere instead of letting it show at all. If this is the case, I admire your ability to not lash out at someone who's hurting you. However, if they are totally  unexpressed, anger turn inward and shift into depression. When she yells at you, what do you do? Is this the moment that you feel the most angry? I wouldn't be surprised; anger is a normal response to someone yelling at you. Something about anger...it's often there to cover up our more vulnerable emotions. Under the anger I wonder if you feel worthless, powerless, scared, unloved. Part of the trick to reducing anger is identifying those other emotions and expressing them. You say you don't know how to deal with life, and I think maybe you mean you don't know how to deal with emotions. Lots of people don't! This is confusing for most of us. What am I feeling? Why is it so strong? I'm afraid to express it for fear of hurting someone (or falling apart, or feeling alone...). How do I know what to express and what to be quiet about? These are all great questions to ask yourself, and a qualified therapist can help you sort it all out and support you in your growth. I wish you well!"
41,I want to stop physically abusing my girlfriend.,"Anger Management,Domestic Violence","Good for you for recognizing that a change has to be made quickly. Regardless of whether or not your girlfriend leaves your relationship, taking control of your anger needs to happen sooner than later. If left unresolved, it will follow you into any relationship you have. Have you talked to a therapist? I would suggest you take that step first. A therapist will help you explore the source of your anger and teach you new, adaptiveways of dealing with your anger. Until you're able to get some professional help, I would advise that you start recognizing when your emotions are becoming escalated and take a time out before the anger turns into aggression. If you feel yourself becoming heated, excuse yourself from the situation, go to a quiet place or on a walk, and practice some deep breathing. Clear your mind of the problem and focus only on your breathing as you inhale slowly counting to four and exhale slowly counting to six. Don't get discouraged if it doesn't work rightaway. Deep breathing takes practice!Return to the situation or your girlfriend only once you have calmed down and are confident that you are not going to hurt anyone. You might also want to ask your girlfriend to remind you to take a break when she recognizes that your emotions are escalating. Know that with help and support, especially from a therapist, the issues you have can be resolved and new ways of coping can be learned. Good luck!"
43,How do I deal with anger problems towards my mom,"Anger Management,Family Conflict","Anger is a natural and healthy emotion, however, it can be difficult to deal with if it becomes overwhelming and depending on what we have been taught about it and how to express it. A competent therapist may be able to help you figure out ways to relate to your anger and your mother that will feel right to you."
44,How do I stop my step child from hurting my biological child?,"Anger Management,Parenting","I can see why you are alarmed. That is a scary situation for a parent. Do you know if the child has been evaluated by a mental health professional? Early treatment is often the key. A professional will be able to help the child learn how to control their anger and mend the troublesome actions into more appropriate responses. Have you addressed your concerns with the child's other parent? There could be contributing factors in his life that could be causing these issues (exposure to violence, sexualphysical abuse, drug use, stressful events in his life, etc.). It is important that these factors are identified so that they can either be eliminated andor reduced. I wouldn't hesitate to have him evaluated (if he hasn't been already) and to ensure that he is getting the help that he needs whether it be medication andor therapy. Until then, I would make sure that he is always supervised under an adult's care."
45,How can I deal with the anger problems I've gained from my soon-to-be husband?,"Anger Management,Relationships","My gut says that your own rage is being triggered partly because you feel trapped or shutdown by your fiance's moodyangryrage responses and powerless to stop it. You can start by accepting that this is who he is and you won't change him. You can only change your own behaviours, and I see you taking responsibility for those, which is great. You want to protect your girls, and that's appropriate; children are greatly affected by this type of home environment. I urge you to see a therapist so you can understand your own emotions and sort out the choices you have to make, knowing that your fiance has to make his own choices about his behaviours."
51,How do I deal with my alcoholic boyfriend with a dark past?,"Anger Management,Relationships,Substance Abuse,Addiction","First, let me extend my compassion to both of you -- it sounds like you have a lot on your plates. Childhood trauma carries its negative effects into our adulthood and affects everyone who loves us.Your question is brief, so I'll just try to give general answers as best I can. From my experiences treating many people with your boyfriend's experiences, the short, healthy answer is that you can't fix the situation and maybe not even be able to help. He needs a professional. Period.What you cando, is take care of yourself. With his background, it is not likely that he will be able to help you or take care of you in a healthy way. Your task needs to prioritize your own safety and well-being. Trauma and substance abuse are the definition of being out of control, unable to set and manage appropriate boundaries, manage his own emotions and behaviors. So your boyfriend is unlikely to be able to change in the near-term, certainly not without professional help. You might also benefit from help and support, to understand your own role in your relationship and how you can make changes in your life. I am NOT blaming you for any aspect of your boyfriend's behavior, only acknowledging that there are two people in every relationship. If you have accepted your boyfriend's drinking and violent outbursts in the past (by staying in the relationship), that is likely to perpetuate his behavior. And there isn't any way to ""handle violent outbursts."" They shouldn't be handled at all, and if you have to be away from your boyfriend during his outbursts in order to be emotionally and physically safe, then that may be what you will have to do.We can never really change anyone else. The only person we can change is ourselves. Sometimes our behavior changes the odds of another person's behaviors, but it doesn't control it. I would recommend that you work with a professional to first, ensure your own safety above all. Then make decisions about what behavior you are willing to accept or be connected to, and which you want to separate from. Whatever your boyfriend does in his life, you will be happier if you manage your own feelings, set boundaries, etc. Let me say again that you also would benefit from some good insight and support as you continue your journey.Wishing you and your boyfriend healing and recovery."
52,How do I deal with my son's violent thoughts and dreams?,"Anger Management,Sleep Improvement","Let me start my stating this is important to take seriously - taking to his PCP, getting a referral to a pediatric specialist, and getting him to a relational psychotherapist would be my first tasks. I wont label this occurrences as &#34;normal&#34; yet it is important to note these things do occur. My first observation is to say that it is a tremendous advantage that your son is communicating what he is experiencing. I'd encourage him to continue to do so, no matter the extent of his thoughts - his trust of you being able the handle his experience is of utmost importance. His containment and sense of security is also dependent on your reaction to what he shares. Seek professional help, communicating your support, including a plan of action, and reassuring him you will figure this out together will help you as you begin. "
54,"i need answers to my angry, possessiveness, and urges","Anger Management,Social Relationships,Relationships","What result are you hoping to get from the behaviors you describe?Maybe start by comparing the results you see yourself receiving from your current interactions, with how you would wish to feel from relating to others.Since you ask, ""what is wrong with me?"", there is a disconnect between what you are doing and what you'd like in return.This is true even with imagining doing harm to others.What are you really trying to accomplish for yourself by hurting others?Besides the unethicalness and criminality of this and legal consequences of arrest for such behaviors, what gain which is not evil, do you expect from overpowering and imagining you control another human being?"
55,Can I control anxiety without medication?,Anxiety,"You didn't say what or how many medications you've tried. Certain anxiety medications can make you feel nauseous, but I haven't heard of any that cause mouth blisters, so there may be some other underlying medical issue there. I would definitely talk to your primary care physician and whoever has prescribed the medication as well as a neurologist if you've suffered a severe head injury. There are so many medications available for anxiety or insomnia or even depression that there may be others with lesser side effects.But beyond that, have you tried any other treatments such as deep breathing or meditation? Meditation can be very effective, but it takes practice and you don't have to sit cross-legged for hours chanting &#34;Ohm&#34; to meditate. It's about focusing on your breath, rather than all the thoughts that are racing through your head. And when they do take your mind off your breath, simply refocus (and refocus and refocus). Like I said, it takes practice, so don't give up. You can find many sites offering different ways to meditate, so look around and see what works best for you. Like medication, you just have to find the one that works best and that might take some experimentation.I hope this helps and best of luck to you."
56,How can I slow down and enjoy life?,Anxiety,"Thank you for reaching out! That is a great question! As an American, I can truly say that I spend way too much time on the go! It is a proven fact that Americans live in a fast paced environment compared to Europe! I often ask myself, what if I only had one day left on this Earth? What would I do? Well, that is an easy question. I would spend it with my family! Easier said than done when we are living in a tomorrow kind of World, right? Its hard to focus on the now when we are so consumed in what tomorrow shall bring.Time management is a very important factor when learning to &#34;live life to the fullest&#34;! In fact, this is a required course in undergraduate college now. Everyone manages their time differently and it is up to you to decide how you would like to do this. Personally, for myself I like to keep a calendar with a to-do list. I always place my most important tasks at the top of the list. That way, if I do not get through the list, I am not stressing over the little things. When planning your day, it is important you schedule work, eat and play. A much as it is hard not to work after getting off work, it must be done. There is discipline involved in this process. If you have trouble with this, then maybe seeking out some accountability such as including a coworker to make sure you do not bring work home once your shift is over or your spousepartner reminding you that this is a time for play and not work.These are just some ideas that I am throwing out there. Again, everyone has their own style on time management. I hope this was helpful for you. Please don't hesitate to reach out for anything further!"
57,I am fearful of social situations and avoiding people all together,Anxiety,A good first step would be to make an appointment with your primary care provider &amp; discuss your concerns.  They would have resources available to help in your particular situation.
59,Am I somehow stressing myself out?,Anxiety,"I think you have identified something important here. It's not unusual to experience feelings that don't seem to match up with what your rational mind recognizes.In this case, it sounds like a part of you recognizes that the people around you do not find you ""annoying and bothersome."" Despite knowing that people like you, it seems that there's still a part of you that feels like you're a bother.Finding a local counselor who can work with you to process those feelings might be just the help you need."
61,How do I know if I have social anxiety?,Anxiety,"If you are noticing that anxiety tends to be triggered around interactions with others, then you may have social anxiety. Working with a therapist, you may be able to gain insight into the nature of the anxiety, develop tools for coping with it, and take steps that may alleviate it over time, so that you can enjoy your interactions with others. If you are short on money, there still may be options for you to be able to see a therapist. Check with your insurance provider about your behavioral health coverage. If you have medicaidapple care, there are some private practice therapists who accept this form of insurance, as well as community clinics which do. If you are not insured, some therapists and clinics will work on a sliding fee scale, and accept either low fee or may even work with you pro-bono (for free)."
62,How can I be less afraid of rape?,Anxiety,"Your fear is somewhat reasonable. No one wants to be raped and I imagine everyone is afraid of what being raped would feel like.Do you mean that this fear is on your mind more often than you would like?If this is the case, then try understanding the reason behind your fear.Is it because you personally know or know of someone who was raped? One general direction of what would help is to regain confidence in your decisions of keeping yourself safe. The more you trust yourself to avoid social situations with lots of drinking, isolated physical surroundings, and being in isolated locations with someone with whom you're not very familiar, probably your fear will decrease.The other general direction to understand is if in your family history, people have been violated severely, either emotionally, mentally, or physically.In families in which people have suffered severe violations of themselves, often the emotional patterning of expecting to be hurt by others, plants itself very deeply and transmits to the younger generation.Its possible then, that you are suffering from fears established in other family members who have not yet been able to fully understand and accept their own suffering.The good news is that individual therapy, with a credentialed and licensed therapist, is ideal for a safe place to open and clear this type of emotional burden."
63,How can I take my emotional support animal to school?,Anxiety,"Sorry to read of your suffering.Is it actually permitted that people are able to take support animals to school?I see your point of the animal helping you. I just also see the point that some people have allergies to animal hair or dander, or may feel distracted by an animal in the classroom.You may end up feeling worse, if when you bring your support animal to school, that it disturbs people or interferes with the routines of the class.For your anxiety, I suggest some loving kindness toward yourself. Be patient with yourself and that you have anxiety. If you're able to accept that some situations create great discomfort for you, maybe you'll tolerate these difficult situation.Embrace your anxiety as part of you, basically, rather than trying to banish it, which because it actually is part of you, is impossible to achieve.In a way, I'm suggesting you become your own ""support animal"". Love yourself, be kind to yourself, and see if you feel a little less stressed in school."
65,How can I deal with my paranoia?,Anxiety,"Paranoid people don't realize they are paranoid. They believe their actions to be reasonable responses to potential threats.From what you write, you are aware that your actions may be understood as extreme.Instead of trying to fit your behavior into a negative psychological category, try seeing each of the behaviors you list here, as your own uniqueness.This way you will become more tolerant of what very well be your natural tendencies.If you are someone who needs a lot of time in quiet, then not liking loud noises doesn't make you paranoid, it is simply the way of who you are.One possible way of feeling better is if you would accept the answers you've developed so far for yourself. They may be a little unusual compared to what we consider mainstream. From what you describe, you already are dealing with what you call ""paranoia""."
67,How can I get over social anxiety?,Anxiety,"Individual andor group therapy can be a powerful antidote for social anxiety. Often in therapy, the things that tend to get in the way of our securing satisfying and lasting personal relationships will appear in some way in the therapy relationship and a competent therapist will be able to help you work through this anxiety, in a sensitive way, and eventually encourage you to seek out the personal relationships that you want. In group therapy, you have an opportunity to have a relationship not only with the therapist, but several other people who are all in the group in order to give and receive mutual support to one another."
